smiles,logCMC
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],0.799340549
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,-1.060231224
CCCCCCCC(=O)OCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.667452953
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)CO,-1.675717545
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.381285373
CCCCCCCCCCCCC[n+]1ccccc1.[Br-],0.72427587
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-2.508638306
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,0.699404082
CCCCCCCCc1cccc(OCCO)c1,-1.30980392
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],1.041392685
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,-1.569441231
CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.653212514
CCCCCCCCOC(CO)CO,0.763427994
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,0.813233062
